Accession_STEPdb_2.0,Protein_ID_STEPdb_2.0,1ary_Gene_Name,STEPdb_Universal_Name,Uniprot_Protein_Name,STEPdb_Sub-cellular_Location_Full Name,STEPdb_Sub-cellular_Location_Letter Code,sub-cellular_topology_group,SRP_interactome_Schibich2016,TF_interactome_Oh2011,SecA_interactome_Huber2016,DnaK_client_Calloni2012,DnaK_client_Arifuzzaman2016,DnaK_client_Niwa2009,TF_client_Martinez2009,TF_client_Butland2005,TF_client_Arifuzzaman2006,TF_client_Niwa2009,GroEL_client_Kerner2005,GroEL_client_Arifuzzaman2006,GroEL_client_Chapman2006,GroEL_client_Niwa2009,SecB_client_Stepdb1.0,SecB_client_additional_data
C1P616,IBSD_ECOLI,ibsD,"integral IM protein (SEC in IM), Small toxin IbsD",Small toxic protein IbsD,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
C1P617,IBSE_ECOLI,ibsE,"cytoplasmic protein, Small toxin IbsE",Small toxic protein IbsE,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
C1P618,YRBN_ECOLI,yrbN,"nucleoid protein, YrbN",Uncharacterized protein YrbN,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,,,,,,,,,,,,,
C1P619,ILVX_ECOLI,ilvX,"cytoplasmic protein, IlvX",Uncharacterized protein IlvX,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
C1P620,YSHB_ECOLI,yshB,"cytoplasmic peripheral IM protein, YshB",Uncharacterized protein YshB,"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,,,,,
C1P621,YJEV_ECOLI,yjeV,"cytoplasmic protein, YjeV",Uncharacterized protein YjeV,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
E2JKY7,LPMG_ECOLI,mgtL,"cytoplasmic protein, mgtA leader peptide MgtL",mgtA leader peptide (Regulatory leader peptide for mgtA),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
G3MTW7,PMRR_ECOLI,pmrR,"integral IM protein (SEC in IM), Putative PmrR",Putative membrane protein PmrR,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
O32528,YPDI_ECOLI,ypdI,"OM lipoprotein (SEC through IM, inserted in OM by LOL), YpdI",Uncharacterized lipoprotein YpdI,Outer Membrane Lipoprotein,I,Secreted,,,,,,,,,,,,,,,,
O32583,THIS_ECOLI,thiS,"cytoplasmic protein, Sulfur carrier ThiS ",Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS),Cytoplasmic,A,Cytoplasmic,,,,,YES,,,,,,,,,,,
O52982,YFJS_ECOLI,yfjS,"IM lipoprotein (SEC through IM, inserted in OM by LOL), YfjS",Lipoprotein YfjS,Inner Membrane Lipoprotein,E,Secreted,,,YES,,,,,,,,,,,,,
P00350,6PGD_ECOLI,gnd,"cytoplasmic peripheral IM protein, 6-phosphogluconate dehydrogenase, decarboxylating Gnd","6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)","Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,NO,,,YES,,,,,,,YES,,,,,
P00363,FRDA_ECOLI,frdA,"cytoplasmic peripheral IM protein, Fumarate reductase flavosubunit FrdA",Fumarate reductase flavoprotein subunit (EC 1.3.5.4),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,,YES,,,,,,,YES,,,,,
P00370,DHE4_ECOLI,gdhA,"cytoplasmic protein, NADP-specific glutamate dehydrogenase GdhA",NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4),Cytoplasmic,A,Cytoplasmic,,YES,,YES,,YES,,,,,,,,,,
P00393,DHNA_ECOLI,ndh,"cytoplasmic peripheral IM protein, NADH dehydrogenase Ndh",NADH dehydrogenase (EC 1.6.99.3),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,YES,,,,,
P00448,SODM_ECOLI,sodA,"periplasmic protein (SEC through IM), Superoxide dismutase SodA",Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD),Periplasmic,G,Secreted,,,,YES,,,,,,,,,,,,
P00452,RIR1_ECOLI,nrdA,"cytoplasmic peripheral IM protein, Ribonucleoside-diphosphate reductase 1 subunit alpha NrdA",Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,YES,YES,,YES,,,,,,,,,,,,
P00490,PHSM_ECOLI,malP,"integral IM protein (SEC in IM), Maltodextrin phosphorylase MalP",Maltodextrin phosphorylase (EC 2.4.1.1),Integral Inner Membrane ,B,Integral Inner Membrane,,YES,YES,,,,,,,,YES,,,,,
P00509,AAT_ECOLI,aspC,"cytoplasmic peripheral IM protein, Aspartate aminotransferase AspC",Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,,YES,,,,,,,,,,,,
P00547,KHSE_ECOLI,thrB,"cytoplasmic protein, Homoserine kinase ThrB",Homoserine kinase (HK) (HSK) (EC 2.7.1.39),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,,,
P00550,PTM3C_ECOLI,mtlA,"integral IM protein (SEC in IM), PTS system mannitol-specific EIICBA component MtlA",PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (PTS system mannitol-specific EIIA component)],Integral Inner Membrane ,B,Integral Inner Membrane,,YES,YES,,,,,,,,,YES,,,,
P00561,AK1H_ECOLI,thrA,"cytoplasmic peripheral IM protein, Bifunctional aspartokinase/homoserine dehydrogenase 1 ThrA",Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)],"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,NO,,YES,,,,YES,,,,,,,,,
P00562,AK2H_ECOLI,metL,"cytoplasmic peripheral IM protein, Bifunctional aspartokinase/homoserine dehydrogenase 2 MetL",Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)],"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,YES,,,,,,,,,,,,,
P00579,RPOD_ECOLI,rpoD,"cytoplasmic nucleoid peripheral IM protein, RNA polymerase sigma factor RpoD ",RNA polymerase sigma factor RpoD (Sigma-70),"Cytoplasmic, Nucleoid, Peripheral inner membrane protein facing the cytoplasm","A,N,F1",Cytoplasmic,NO,,,,,,,,,,,,,,,
P00582,DPO1_ECOLI,polA,"cytoplasmic nucleoid peripheral IM protein, DNA polymerase I PolA",DNA polymerase I (POL I) (EC 2.7.7.7),"Cytoplasmic, Nucleoid, Peripheral inner membrane protein facing the cytoplasm","A,N,F1",Cytoplasmic,,YES,YES,,,,,,,,,,,,,
P00634,PPB_ECOLI,phoA,"periplasmic protein (SEC through IM), Alkaline phosphatase PhoA",Alkaline phosphatase (APase) (EC 3.1.3.1),Periplasmic,G,Secreted,,,,,YES,,,,,,,,,,,
P00722,BGAL_ECOLI,lacZ,"cytoplasmic protein, Beta-galactosidase LacZ",Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase),Cytoplasmic,A,Cytoplasmic,,YES,YES,,,,,,YES,,,,,,,
P00803,LEP_ECOLI,lepB,"integral IM protein (SEC-YidC in IM), Signal peptidase I LepB",Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I),Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,YES,,,,,,,,,,,,
P00804,LSPA_ECOLI,lspA,"integral IM protein (SEC in IM), Signal peptidase II LspA",Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II),Integral Inner Membrane ,B,Integral Inner Membrane,YES,YES,YES,,,,,,,,,,,,,
P00805,ASPG2_ECOLI,ansB,"periplasmic protein (SEC through IM), L-asparaginase 2 AnsB",L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase),Periplasmic,G,Secreted,,,YES,,,,,,,,,,,,,
P00811,AMPC_ECOLI,ampC,"periplasmic protein (SEC through IM), Beta-lactamase AmpC",Beta-lactamase (EC 3.5.2.6) (Cephalosporinase),Periplasmic,G,Secreted,,,,,YES,,,,,,,,,,,
P00816,CYNS_ECOLI,cynS,"cytoplasmic protein, Cyanate hydratase CynS",Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase),Cytoplasmic,A,Cytoplasmic,,,YES,,YES,,,,,,,,,,,
P00861,DCDA_ECOLI,lysA,"cytoplasmic protein, Diaminopimelate decarboxylase LysA",Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),Cytoplasmic,A,Cytoplasmic,,YES,,,,,,YES,,,,,,,,
P00864,CAPP_ECOLI,ppc,"cytoplasmic peripheral IM protein, Phosphoenolpyruvate carboxylase Ppc",Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,NO,YES,,YES,,,,,,,,,,,,
P00887,AROH_ECOLI,aroH,"cytoplasmic protein, Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive AroH","Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)",Cytoplasmic,A,Cytoplasmic,,YES,,,,YES,,,,,,YES,,YES,,
P00888,AROF_ECOLI,aroF,"cytoplasmic protein, Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive AroF","Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)",Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P0DP89,ILVGP_ECOLI,ilvG,"cytoplasmic protein, Putative acetolactate synthase isozyme 2 large subunit IlvG",Putative acetolactate synthase isozyme 2 large subunit (AHAS-II) (ALS-II) (Acetohydroxy-acid synthase II large subunit),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P00893,ILVI_ECOLI,ilvI,"cytoplasmic protein, Acetolactate synthase isozyme 3 large subunit IlvI",Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit),Cytoplasmic,A,Cytoplasmic,,YES,YES,,,YES,,,,,,,,,,
P00894,ILVH_ECOLI,ilvH,"cytoplasmic protein, Acetolactate synthase isozyme 3 small subunit IlvH",Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III),Cytoplasmic,A,Cytoplasmic,,,,YES,,,,,,,,,,,,
P00895,TRPE_ECOLI,trpE,"cytoplasmic peripheral IM protein, Anthranilate synthase component 1 TrpE",Anthranilate synthase component 1 (AS) (ASI) (EC 4.1.3.27),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,YES,,,,,,,YES,,,,
P00903,PABA_ECOLI,pabA,"cytoplasmic protein, Aminodeoxychorismate synthase component 2 PabA","Aminodeoxychorismate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)",Cytoplasmic,A,Cytoplasmic,,YES,YES,,,,,,,,,YES,,,,
P00904,TRPGD_ECOLI,trpGD,"cytoplasmic peripheral IM protein, Bifunctional TrpG","Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]","Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,YES,,,YES,,,,,,,,YES,,
P00909,TRPC_ECOLI,trpC,"cytoplasmic protein, Tryptophan biosynthesis TrpCF ",Tryptophan biosynthesis protein TrpCF [Includes: Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48); N-(5'-phospho-ribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)],Cytoplasmic,A,Cytoplasmic,,YES,,,,YES,,,,,,YES,,YES,,
P00914,PHR_ECOLI,phrB,"nucleoid protein, Deoxyribodipyrimidine photo-lyase PhrB",Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,YES,,,,,,,,,,YES,,YES,,
P00926,SDHD_ECOLI,dsdA,"cytoplasmic protein, D-serine dehydratase DsdA",D-serine dehydratase (EC 4.3.1.18) (D-serine deaminase) (DSD),Cytoplasmic,A,Cytoplasmic,NO,YES,YES,,,,,,,,,,,,,
P00934,THRC_ECOLI,thrC,"cytoplasmic protein, Threonine synthase ThrC",Threonine synthase (TS) (EC 4.2.3.1),Cytoplasmic,A,Cytoplasmic,NO,,YES,YES,,,,,,,,,,,,
P00935,METB_ECOLI,metB,"cytoplasmic protein, Cystathionine gamma-synthase MetB",Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase),Cytoplasmic,A,Cytoplasmic,,YES,,,,,,,,,,,,,,
P00936,CYAA_ECOLI,cyaA,"cytoplasmic protein, Adenylate cyclase CyaA",Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase),Cytoplasmic,A,Cytoplasmic,,YES,YES,,,,,,,,,,,,,
P00944,XYLA_ECOLI,xylA,"cytoplasmic protein, Xylose isomerase XylA",Xylose isomerase (EC 5.3.1.5) (D-xylulose keto-isomerase),Cytoplasmic,A,Cytoplasmic,,YES,YES,,,,,,,,YES,,,,,
P00946,MANA_ECOLI,manA,"cytoplasmic protein, Mannose-6-phosphate isomerase ManA",Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P00954,SYW_ECOLI,trpS,"cytoplasmic protein, Tryptophan--tRNA ligase TrpS",Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS),Cytoplasmic,A,Cytoplasmic,NO,,,YES,,,,,,,,,,,,
P00956,SYI_ECOLI,ileS,"cytoplasmic protein, Isoleucine--tRNA ligase IleS",Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS),Cytoplasmic,A,Cytoplasmic,NO,YES,,YES,,,,,,,,,,,,
P00957,SYA_ECOLI,alaS,"cytoplasmic nucleoid peripheral IM protein, Alanine--tRNA ligase AlaS",Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS),"Cytoplasmic, Nucleoid, Peripheral inner membrane protein facing the cytoplasm","A,N,F1",Cytoplasmic,NO,,YES,YES,,,,,,,,,YES,,,
P00959,SYM_ECOLI,metG,"cytoplasmic peripheral IM protein, Methionine--tRNA ligase MetG",Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,YES,,,,,,,,,,,,,
P00960,SYGA_ECOLI,glyQ,"cytoplasmic peripheral IM protein, Glycine--tRNA ligase alpha subunit GlyQ",Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,NO,YES,YES,YES,,,,,,,,,,,,
P00961,SYGB_ECOLI,glyS,"cytoplasmic peripheral IM protein, Glycine--tRNA ligase beta subunit GlyS",Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,,,,,
